Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Sexe,Nacionalitat,Edat_quinquennal,Nombre
2016,1,Ciutat Vella,2,el Barri Gòtic,Dona,Estrangera,35-39 anys,357
2016,1,Ciutat Vella,3,la Barceloneta,Dona,Estrangera,35-39 anys,332
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Dona,Estrangera,35-39 anys,608
2016,2,Eixample,5,el Fort Pienc,Dona,Estrangera,35-39 anys,437
2016,2,Eixample,6,la Sagrada Família,Dona,Estrangera,35-39 anys,698
2016,2,Eixample,7,la Dreta de l'Eixample,Dona,Estrangera,35-39 anys,658
2016,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Dona,Estrangera,35-39 anys,531
2016,2,Eixample,9,la Nova Esquerra de l'Eixample,Dona,Estrangera,35-39 anys,685
2016,2,Eixample,10,Sant Antoni,Dona,Estrangera,35-39 anys,547
2016,3,Sants-Montjuïc,11,el Poble Sec - AEI Parc Montjuïc,Dona,Estrangera,35-39 anys,871
2016,3,Sants-Montjuïc,12,la Marina del Prat Vermell - AEI Zona Franca,Dona,Estrangera,35-39 anys,2
2016,3,Sants-Montjuïc,13,la Marina de Port,Dona,Estrangera,35-39 anys,258
2016,3,Sants-Montjuïc,14,la Font de la Guatlla,Dona,Estrangera,35-39 anys,122
2016,3,Sants-Montjuïc,15,Hostafrancs,Dona,Estrangera,35-39 anys,228
2016,3,Sants-Montjuïc,16,la Bordeta,Dona,Estrangera,35-39 anys,149
2016,3,Sants-Montjuïc,17,Sants - Badal,Dona,Estrangera,35-39 anys,287
2016,3,Sants-Montjuïc,18,Sants,Dona,Estrangera,35-39 anys,473
2016,4,Les Corts,19,les Corts,Dona,Estrangera,35-39 anys,323
2016,4,Les Corts,20,la Maternitat i Sant Ramon,Dona,Estrangera,35-39 anys,174
2016,4,Les Corts,21,Pedralbes,Dona,Estrangera,35-39 anys,101
2016,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Dona,Estrangera,35-39 anys,56
2016,5,Sarrià-Sant Gervasi,23,Sarrià,Dona,Estrangera,35-39 anys,204
2016,5,Sarrià-Sant Gervasi,24,les Tres Torres,Dona,Estrangera,35-39 anys,84
2016,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Dona,Estrangera,35-39 anys,175
2016,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Dona,Estrangera,35-39 anys,404
2016,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Dona,Estrangera,35-39 anys,298
2016,6,Gràcia,28,Vallcarca i els Penitents,Dona,Estrangera,35-39 anys,161
2016,6,Gràcia,29,el Coll,Dona,Estrangera,35-39 anys,88
2016,6,Gràcia,30,la Salut,Dona,Estrangera,35-39 anys,126
2016,6,Gràcia,31,la Vila de Gràcia,Dona,Estrangera,35-39 anys,871
2016,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Dona,Estrangera,35-39 anys,353
2016,7,Horta-Guinardó,33,el Baix Guinardó,Dona,Estrangera,35-39 anys,237
2016,7,Horta-Guinardó,34,Can Baró,Dona,Estrangera,35-39 anys,85
2016,7,Horta-Guinardó,35,el Guinardó,Dona,Estrangera,35-39 anys,380
2016,7,Horta-Guinardó,36,la Font d'en Fargues,Dona,Estrangera,35-39 anys,33
2016,7,Horta-Guinardó,37,el Carmel,Dona,Estrangera,35-39 anys,271
2016,7,Horta-Guinardó,38,la Teixonera,Dona,Estrangera,35-39 anys,82
2016,7,Horta-Guinardó,39,Sant Genís dels Agudells,Dona,Estrangera,35-39 anys,51
2016,7,Horta-Guinardó,40,Montbau,Dona,Estrangera,35-39 anys,44
2016,7,Horta-Guinardó,41,la Vall d'Hebron,Dona,Estrangera,35-39 anys,38
2016,7,Horta-Guinardó,42,la Clota,Dona,Estrangera,35-39 anys,7
2016,7,Horta-Guinardó,43,Horta,Dona,Estrangera,35-39 anys,197
2016,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Dona,Estrangera,35-39 anys,244
2016,8,Nou Barris,45,Porta,Dona,Estrangera,35-39 anys,265
2016,8,Nou Barris,46,el Turó de la Peira,Dona,Estrangera,35-39 anys,228
2016,8,Nou Barris,47,Can Peguera,Dona,Estrangera,35-39 anys,11
2016,8,Nou Barris,48,la Guineueta,Dona,Estrangera,35-39 anys,81
2016,8,Nou Barris,49,Canyelles,Dona,Estrangera,35-39 anys,25
2016,8,Nou Barris,50,les Roquetes,Dona,Estrangera,35-39 anys,215
2016,8,Nou Barris,51,Verdun,Dona,Estrangera,35-39 anys,151
2016,8,Nou Barris,52,la Prosperitat,Dona,Estrangera,35-39 anys,263
2016,8,Nou Barris,53,la Trinitat Nova,Dona,Estrangera,35-39 anys,83
2016,8,Nou Barris,54,Torre Baró,Dona,Estrangera,35-39 anys,28
2016,8,Nou Barris,55,Ciutat Meridiana,Dona,Estrangera,35-39 anys,166
